問題,正答
□<かみ>□<さま>にいのる,神様
お□（　　）<まつり>に行く,祭り
しあいが□（　　）<おわる>,終わる
□<なら>い□<ごと>をする,習い事
□<ふで>でえをかく,筆
本やノート□<など>を買う,等
おもちゃを入れる□<はこ>,箱
クラスの□<きゅう>□<ちょう>,級長
道に□<せん>を引く,線
毎日□<れん>□<しゅう>する,練習
□<ひつじ>の毛,羊
□（　　）<うつくしい>花,美しい
鳥の□<はね>,羽
子どもを□（　　）<そだてる>,育てる
□<ちょう>□<ない>に住む,町内
□<じ>□<てん>□<しゃ>にのる,自転車
□<ふね>にのる,船
□（　　）<くるしむ>,苦しむ
□<に>□<もつ>をはこぶ,荷物
木の□<は>がおちる,葉
□<くすり>をのむ,薬
血が□（　　）<なが>れる,流
□<し>をよむ,詩
□（　　）<しらべる>,調
ふたりの□<だん>□<わ>,談話
□<まめ>をまく,豆
□（　　）<まける>がかち,負ける
□（　　）<おきる>,起きる
□<どう>□<ろ>をあるく,道路
□<しん>□<たい>そくてい,身体
タイヤが□（　　）<まわる>,回る
□<けい>□<じ>□<どう>□<しゃ>,軽自動車
□<のう>□<か>のしごと,農家
はしるのが□（　　）<はやい>,速い
□（　　）<すすむ>,進む
にもつを□（　　）<はこぶ>,運ぶ
こうえんで□（　　）<あそぶ>,遊ぶ
□<ぶ>□<かつ>□<どう>,部活動
とうきょう□<と>,都
しんぶんを□（　　）<くばる>,配る
お□<さけ>をのむ,酒
□<おも>い石,重い
□<てつ>□<どう>,鉄道
かがみで□<かお>を見る,顔
□<たい>□<よう>,太陽
いえの□<に>□<かい>,二階
人が□（　　）<あつまる>,集まる
□<もん>□<だい>を出す,問題
みずを□（　　）<のむ>,飲む
□<えき>□<まえ>,駅前
□<はな>がつまる,鼻
